NEIGHBOR	CENTROID	PROX	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
NC:plombier	eur	0.7689195603343771	affixed	ier	n	object
NC:truand	eur	0.7487393472292215	undet			
NC:escroc	eur	0.7467439430326699	undet			
NC:proxénète	eur	0.7267757955169001	simple			
NC:rabatteur	eur	0.7249440917739315	affixed	eur	v	action
NC:prestidigitateur	eur	0.7222527640120057	affixed	eur	v	action
NC:coiffeur	eur	0.7169646947713448	affixed	eur	v	action
NC:garagiste	eur	0.70423583557752	affixed	iste	n	object
NC:gangster	eur	0.7029793676586913	complex			
NC:cuisinier	eur	0.699420663005628	affixed	ier	n	domain
NC:camionneur	eur	0.6979265878247776	affixed	eur	n	object
NC:pickpocket	eur	0.6951171378710332	simple			
NC:malfrat	eur	0.6946352740951836	complex			
NC:soigneur	eur	0.6904567971392956	affixed	eur	v	action
NC:magicien	eur	0.6869661120359254	affixed	ien	n	domain
NC:charlatan	eur	0.6812393791186884	simple			
NC:voleur	eur	0.6812315073861066	affixed	eur	v	action
NC:voyou	eur	0.681128877230041	undet			
NC:cambrioleur	eur	0.6796149899665755	affixed	eur	v	action
NC:jardinier	eur	0.6784913620275188	affixed	ier	n	object
NC:dompteur	eur	0.6777456837406887	affixed	eur	v	action
NC:bijoutier	eur	0.676084558917976	affixed	ier	n	object
NC:cuistot	eur	0.6749857679283898	complex			
NC:colporteur	eur	0.6745791204731205	affixed	eur	v	action
NC:receleur	eur	0.6717285681803252	affixed	eur	v	action
NC:assassin	eur	0.6710870392457233	undet			
NC:farceur	eur	0.6702229440799383	affixed	eur	n	action
NC:domestique	eur	0.669433666218746	conversion		a	property
NC:postier	eur	0.6671579441100048	affixed	ier	n	institution
NC:déménageur	eur	0.66583357631299	affixed	eur	v	action
NC:criminel	eur	0.6623990444649367	conversion		a	property
NC:contrebandier	eur	0.6605582346526911	affixed	ier	n	action
NC:faussaire	eur	0.6593674095539377	affixed	aire	n	object
NC:ventriloque	eur	0.6588826794214254	compound			
NC:armurier	eur	0.6581975720798191	affixed	ier	n	object
NC:drogué	eur	0.6577123821997136	conversion		v	action
NC:informateur	eur	0.6575000621189123	affixed	eur	v	action
NC:marionnettiste	eur	0.6568330570693124	affixed	iste	n	object
NC:boucher	eur	0.6538563477711168	affixed	ier	n	object
NC:clochard	eur	0.6532405639350282	affixed	ard	v	action
NC:photographe	eur	0.6523777738931402	compound			
NC:pompiste	eur	0.6518535574002493	affixed	iste	n	object
NC:policier	eur	0.6516315682778318	affixed	ier	n	institution
NC:ivrogne	eur	0.6501463791299902	complex			
NC:aventurier	eur	0.648037215264807	affixed	ier	n	action
NC:machiniste	eur	0.6472943438062415	affixed	iste	n	object
NC:bandit	eur	0.646932709958238	simple			
NC:comptable	eur	0.6468150408344069	conversion		a	property
NC:vétérinaire	eur	0.6465195684168583	complex			
NC:fêtard	eur	0.6458735886620646	affixed	ard	v	action
NC:vaurien	eur	0.6457713221045644	compound			
NC:illusionniste	eur	0.6453249043199165	affixed	iste	n	action
NC:arnaqueur	eur	0.6447466057609523	affixed	eur	v	action
