NEIGHBOR	CENTROID	PROX	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
NC:cordonnier	ier	0.8562058323105332	affixed	ier	n	object
NC:boulanger	ier	0.8427797925946594	affixed	ier	n	domain
NC:armurier	ier	0.8244298104329065	affixed	ier	n	object
NC:maréchal-ferrant	ier	0.821127974382261	compound			
NC:bijoutier	ier	0.8154395691903638	affixed	ier	n	object
NC:serrurier	ier	0.8078044675017564	affixed	ier	n	object
NC:épicier	ier	0.8040424474539709	affixed	ier	n	object
NC:perruquier	ier	0.7990755746477569	affixed	ier	n	object
NC:charpentier	ier	0.7981915771494154	affixed	ier	n	object
NC:forgeron	ier	0.7968373089929723	affixed	on	v	action
NC:tanneur	ier	0.7964772592565509	affixed	eur	v	action
NC:jardinier	ier	0.792345986035978	affixed	ier	n	object
NC:plombier	ier	0.7903371405673816	affixed	ier	n	object
NC:cafetier	ier	0.7902935490066074	affixed	ier	n	object
NC:boucher	ier	0.7899596484269767	affixed	ier	n	object
NC:aubergiste	ier	0.7885074831547741	affixed	iste	n	object
NC:quincaillier	ier	0.7838255216503796	affixed	ier	n	object
NC:bottier	ier	0.7836677794146392	affixed	ier	n	object
NC:coiffeur	ier	0.7755425467685007	affixed	eur	v	action
NC:chapelier	ier	0.7753992466800053	affixed	ier	n	object
NC:portefaix	ier	0.7741279762009082	compound			
NC:chaudronnier	ier	0.7738436344911243	affixed	ier	n	object
NC:charretier	ier	0.7732086430909668	affixed	ier	n	object
NC:cuisinier	ier	0.7721681840724689	affixed	ier	n	domain
NC:menuisier	ier	0.7704855812831918	complex			
NC:boutiquier	ier	0.7698626230075458	affixed	ier	n	object
NC:maquignon	ier	0.7693471316119161	simple			
NC:voiturier	ier	0.768090093945552	affixed	ier	n	object
NC:fripier	ier	0.7675535674224263	affixed	ier	n	object
NC:colporteur	ier	0.7670962946462438	affixed	eur	v	action
NC:cabaretier	ier	0.7657083239221067	affixed	ier	n	object
NC:tailleur	ier	0.7637831798872913	affixed	eur	v	action
NC:tonnelier	ier	0.7626441259116274	affixed	ier	n	object
NC:tisserand	ier	0.7595763009794418	complex			
NC:garagiste	ier	0.7584096788891228	affixed	iste	n	object
NC:limonadier	ier	0.7566622520713148	affixed	ier	n	object
NC:contremaître	ier	0.7560097092351221	affixed	contre	n	object
NC:tapissier	ier	0.7548502730486887	affixed	ier	n	object
NC:miroitier	ier	0.7532676032142003	affixed	ier	n	object
NC:charcutier	ier	0.7518636156747843	affixed	ier	v	action
NC:ferblantier	ier	0.7513347625093878	affixed	ier	n	object
NC:fourreur	ier	0.7494618664070941	affixed	eur	v	action
NC:gantier	ier	0.7476601950829183	affixed	ier	n	object
NC:cardeur	ier	0.7469125275052729	affixed	eur	v	action
NC:paveur	ier	0.745692702667685	affixed	eur	v	action
NC:meunier	ier	0.7445481962007646	complex			
NC:ébéniste	ier	0.7443917541109263	affixed	iste	n	object
NC:drapier	ier	0.7443103952646059	affixed	ier	n	object
NC:vitrier	ier	0.7428507899811763	affixed	ier	n	object
NC:bourrelier	ier	0.7414444260175264	complex			
NC:horloger	ier	0.7384282806768203	affixed	ier	n	object
NC:plâtrier	ier	0.734572263984935	affixed	ier	n	object
NC:commerçant	ier	0.733776233876775	affixed	ant	v	action
NC:terrassier	ier	0.7327114348747681	affixed	ier	v	action
