AN	CENTROID	PROX	MORPH_TYPE	EXPONENT	BASE_POS	SEM_TYPE
NC:ophtalmologue	iste	0.7966446572235284	affixed	logue	n	object
NC:photographe	iste	0.7919619424836603	compound			
NC:pédagogue	iste	0.7755115822388683	compound			
NC:neurologue	iste	0.7740670172447583	affixed	logue	n	object
NC:clarinettiste	iste	0.7707778940158461	affixed	iste	n	domain
NC:pédiatre	iste	0.7703149854396683	compound			
NC:violoniste	iste	0.7691706992640656	affixed	iste	n	domain
NC:mycologue	iste	0.7651010684943536	affixed	logue	n	object
NC:naturopathe	iste	0.7628173217965669	compound			
NC:ornithologue	iste	0.7628134096546911	affixed	logue	n	object
NC:écrivain	iste	0.76220396159054	complex			
NC:prestidigitateur	iste	0.7612227509407224	affixed	eur	v	action
NC:phonéticien	iste	0.7612069732975509	affixed	ien	n	domain
NC:musicologue	iste	0.7605720652975733	affixed	logue	n	domain
NC:germaniste	iste	0.7602212534993652	affixed	iste	n	domain
NC:linguiste	iste	0.7591780732413924	affixed	iste	n	domain
NC:criminologue	iste	0.758725044868838	affixed	logue	n	action
NC:cardiologue	iste	0.7584067044551536	affixed	logue	n	object
NC:neurochirurgien	iste	0.7563235180701107	affixed	ien	n	domain
NC:psychiatre	iste	0.7550083275204091	compound			
NC:ethnomusicologue	iste	0.7497236431709877	affixed	logue	n	domain
NC:céramiste	iste	0.7486211020622664	affixed	iste	n	domain
NC:électrotechnicien	iste	0.7462015008762315	affixed	ien	n	domain
NC:dermatologue	iste	0.7454790744541485	affixed	logue	n	object
NC:musicien	iste	0.7447346624106077	affixed	ien	n	domain
NC:violoncelliste	iste	0.7442782809189641	affixed	iste	n	domain
NC:botaniste	iste	0.7437863385939905	affixed	iste	n	domain
NC:folkloriste	iste	0.7420605570341263	affixed	iste	n	domain
NC:pianiste	iste	0.7396589754866001	affixed	iste	n	domain
NC:physiologiste	iste	0.7395914324716839	affixed	iste	n	domain
NC:chimiste	iste	0.7388563233804876	affixed	iste	n	domain
NC:ethnologue	iste	0.7360863008644973	affixed	logue	n	object
NC:indianiste	iste	0.7344526672775931	affixed	ien	n	object
NC:urologue	iste	0.7340773222283248	affixed	logue	n	object
NC:universitaire	iste	0.7334994080130258	affixed	aire	n	institution
NC:anthropologue	iste	0.7331733781924107	affixed	logue	n	object
NC:hématologue	iste	0.733085985487292	affixed	logue	n	object
NC:flûtiste	iste	0.7330555367893052	affixed	iste	n	domain
